INSTITUICAO_ENSINO_ALUNO_2024,NOME,IDADE_ALUNO_2024,ANOS_PM_2024,FASE_TURMA_2024,PONTO_VIRADA_2024,INDE_2024,INDE_CONCEITO_2024,PEDRA_2024,DESTAQUE_IEG_2024,DESTAQUE_IDA_2024,DESTAQUE_IPV_2024,IAA_2024,IEG_2024,IPS_2024,IDA_2024,IPP_2024,IPV_2024,IAN_2024
,Aluno-27,18,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-155,18,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-96,18,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-59,19,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1216,20,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-19,20,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-62,18,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-173,18,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-38,18,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1224,21,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-39,18,,8F,,#DIV/0!,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1637,23,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1638,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1268,20,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1260,20,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1639,21,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1640,23,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1641,21,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1266,20,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1642,23,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1258,25,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1235,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1643,22,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1644,21,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
,Aluno-1645,23,,9,,INCLUIR,,,,,,,0,#N/A,#DIV/0!,#N/A,#N/A,10
